person_id,entry_time_sec,exit_time_sec,waiting_time_sec,processing_time_sec,total_journey_sec,queue1_entries,queue2_entries,timeline,first_seen_ts,exit_ts
1,0.04,10.84,0.0,0.0,10.8,0,0,"[('first_seen', 0.04), ('final_exit', 10.84)]",2025-09-16 10:56:54,2025-09-16 10:58:08
2,0.04,10.04,0.0,0.0,10.0,0,0,"[('first_seen', 0.04), ('final_exit', 10.04)]",2025-09-16 10:56:54,2025-09-16 10:58:02
3,0.04,10.6,0.0,0.0,10.56,0,0,"[('first_seen', 0.04), ('final_exit', 10.6)]",2025-09-16 10:56:54,2025-09-16 10:58:06
4,5.04,5.76,0.0,0.0,0.72,0,0,"[('first_seen', 5.04), ('final_exit', 5.76)]",2025-09-16 10:57:27,2025-09-16 10:57:32
6,5.84,16.92,0.68,9.52,11.08,1,1,"[('first_seen', 5.84), ('Queue1_enter', 5.84), ('Queue1_exit', 6.52), ('Queue2_enter', 7.24), ('Queue2_exit', 16.76), ('final_exit', 16.92)]",2025-09-16 10:57:33,2025-09-16 10:58:50
7,9.28,17.36,0.44,7.16,8.08,1,2,"[('first_seen', 9.28), ('Queue1_enter', 9.28), ('Queue1_exit', 9.72), ('Queue2_enter', 11.2), ('Queue2_exit', 17.36), ('final_exit', 17.36), ('Queue2_enter', 17.4), ('Queue2_exit', 18.4)]",2025-09-16 10:57:57,2025-09-16 10:58:53
8,11.6,20.68,0.6,7.16,9.08,1,1,"[('first_seen', 11.6), ('Queue1_enter', 11.6), ('Queue1_exit', 12.2), ('Queue2_enter', 13.04), ('Queue2_exit', 20.2), ('final_exit', 20.68)]",2025-09-16 10:58:13,2025-09-16 10:59:16
9,13.88,14.36,0.0,0.0,0.48,0,0,"[('first_seen', 13.88), ('final_exit', 14.36)]",2025-09-16 10:58:28,2025-09-16 10:58:32
10,14.48,22.92,0.72,7.44,8.44,1,1,"[('first_seen', 14.48), ('Queue1_enter', 14.48), ('Queue1_exit', 15.2), ('Queue2_enter', 15.48), ('Queue2_exit_end', 22.92), ('final_exit_end', 22.92)]",2025-09-16 10:58:33,2025-09-16 10:59:31
11,15.92,22.4,0.48,4.2,6.48,1,1,"[('first_seen', 15.92), ('Queue1_enter', 15.92), ('Queue1_exit', 16.4), ('Queue2_enter', 18.2), ('Queue2_exit', 22.4), ('final_exit', 22.4)]",2025-09-16 10:58:43,2025-09-16 10:59:28
12,19.08,19.48,0.0,0.0,0.4,0,0,"[('first_seen', 19.08), ('final_exit', 19.48)]",2025-09-16 10:59:05,2025-09-16 10:59:08
14,21.08,21.36,0.0,0.0,0.28,0,0,"[('first_seen', 21.08), ('final_exit', 21.36)]",2025-09-16 10:59:19,2025-09-16 10:59:20
15,22.44,22.92,0.0,0.36,0.48,0,1,"[('first_seen', 22.44), ('Queue2_enter', 22.44), ('Queue2_exit', 22.8), ('final_exit_end', 22.92)]",2025-09-16 10:59:28,2025-09-16 10:59:31
