person_id,entry_time_sec,exit_time_sec,waiting_time_sec,processing_time_sec,total_journey_sec,queue1_entries,queue2_entries,timeline
1,,,0.0,0.0,,0,0,[]
2,,,0.0,0.0,,0,0,[]
3,,,0.0,0.0,,0,0,[]
4,,,0.0,0.0,,0,0,[]
6,5.84,22.92,1.72,15.04,17.08,1,1,"[('Queue1_enter', 5.84), ('Queue1_exit', 7.56), ('Queue2_enter', 7.88), ('Queue2_exit', 22.92)]"
7,9.28,22.92,1.16,11.76,13.64,1,1,"[('Queue1_enter', 9.28), ('Queue1_exit', 10.44), ('Queue2_enter', 11.16), ('Queue2_exit', 22.92)]"
8,11.6,22.92,1.36,9.88,11.32,1,1,"[('Queue1_enter', 11.6), ('Queue1_exit', 12.96), ('Queue2_enter', 13.04), ('Queue2_exit', 22.92)]"
9,,,0.0,0.0,,0,0,[]
11,,,0.0,0.0,,0,0,[]
12,14.48,22.92,1.32,6.68,8.44,1,1,"[('Queue1_enter', 14.48), ('Queue1_exit', 15.8), ('Queue2_enter', 16.24), ('Queue2_exit', 22.92)]"
13,,,0.0,0.0,,0,0,[]
14,15.92,22.92,1.56,4.8,7.0,1,1,"[('Queue1_enter', 15.92), ('Queue1_exit', 17.48), ('Queue2_enter', 18.12), ('Queue2_exit', 22.92)]"
15,,,0.0,0.0,,0,0,[]
16,,,0.0,0.0,,0,0,[]
17,22.44,22.8,0.0,0.36,0.36,0,1,"[('Queue2_enter', 22.44), ('Queue2_exit', 22.8)]"
18,,,0.0,0.0,,0,0,[]
19,22.92,22.92,0.0,0.0,,0,1,"[('Queue2_enter', 22.92), ('Queue2_exit', 22.92)]"
